X	Y	Z	Vx	Vy	Vz
4.0404E-02	2.2222E-01	0.0000E+00	-3.5285E-13	-1.2076E-12	0.0000E+00
8.0808E-02	2.2222E-01	0.0000E+00	-6.7484E-13	-1.2091E-12	0.0000E+00
1.2121E-01	2.2222E-01	0.0000E+00	-9.3624E-13	-1.2114E-12	0.0000E+00
1.6162E-01	2.2222E-01	0.0000E+00	-1.1141E-12	-1.2142E-12	0.0000E+00
2.0202E-01	2.2222E-01	0.0000E+00	-1.2050E-12	-1.2170E-12	0.0000E+00
2.4242E-01	2.2222E-01	0.0000E+00	-1.2108E-12	-1.2196E-12	0.0000E+00
2.8283E-01	2.2222E-01	0.0000E+00	-1.1391E-12	-1.2217E-12	0.0000E+00
3.2323E-01	2.2222E-01	0.0000E+00	-1.0089E-12	-1.2231E-12	0.0000E+00
3.6364E-01	2.2222E-01	0.0000E+00	-8.4278E-13	-1.2236E-12	0.0000E+00
4.0404E-01	2.2222E-01	0.0000E+00	-6.6173E-13	-1.2235E-12	0.0000E+00
4.4444E-01	2.2222E-01	0.0000E+00	-4.8379E-13	-1.2228E-12	0.0000E+00
